  brand_name;non_cruelty_free;
Olaplex;0
Ole Henriksen;0
Omayma Skin;0
Omnilux;0
Omorovicza;0
One Love Organics;0
One/Size Beauty;0
Orebella;0
Organic Bath Co;0
Oribe;0
Orly;0
Oshun Organics;0
Ouai;0
Oui the People;0
Ouidad;0
Out of Africa;0
P Louise;0
PUR Cosmetics;0
PURITO;0
PYT Beauty;0
Pacifica;0
Pai;0
Painted Earth;0
Pangea Organics;0
ParadiseGal;0
Parissa;0
Patchology;0
Patrick Ta;0
Pattern Beauty;0
Paume;0
Peace Out;0
Peach & Lily;0
Peach Slices;0
People Of Color Beauty;0
Perfekt;0
Perricone MD;0
Pharmacopia Natural Bodycare;0
Phil Smith Be Gorgeous;0
Philosophy;0
Phlur;0
Physicians Formula;0
Pink Chawkulit;0
Pinrose;0
PiperWai;0
Pixi;0
Plant Apothecary;0
Pleni;0
Polite Society;0
Pour Le Monde;0
Pravana;0
Pretty Frank;0
Primally Pure;0
Primark;0
Priti NYC;0
Prose;0
Proven Skincare;0
Province Apothecary;0
Pupa Milano;0
Puracy;0
Pure & Gentle;0
Pure Anada;0
Pureology;0
Purlisse;0
QMBeautique;0
Queen Helene;0
Queen Street Apothecary;0
Quo Beauty;0
R+Co;0
RANAVAT;0
RCMA;0
REFY;0
REN;0
RMS Beauty;0
Radical Skincare;0
Rahua;0
Range Beauty;0
Rare Beauty;0
Rare Elements;0
Ravie Beauty;0
Raw Sugar;0
Real Simple Clean;0
Real Techniques;0
Recreation Beauty;0
Red Apple Lipstick;0
Renee Rouleau;0
Reverie;0
Revive7 Science;0
Revolution Beauty;0
Rhode;0
Rimmel London;0
Rinna Beauty;0
Rita Hazan;0
Rituals;0
Rituel De Fille;0
Rodial;0
Root Science;0
Rose Inc;0
Rosebud Perfume Company;0
Rouge Bunny Rouge;0
Rovectin;0
Rustic MAKA;0
S.W. Basics;0
SAINT Cosmetics;0
SEEN;0
SUNNIE Skin;0
SUPPURU;0
Sachajuan;0
Sacheu;0
Saie;0
Saint Jane;0
Saje;0
Salt & Stone;0
Saltair;0
Sand & Sky;0
Sappho New Paradigm;0
Saranghae;0
Saturday Skin;0
Scentuals;0
Schmidt’s Naturals;0
Scotch Naturals;0
Seche;0
Selfless by Hyram;0
Sephora;0
Seventh Generation;0
Sexy Hair;0
Shani Darden;0
SheaMoisture;0
Sibu;0
Siempre;0
Sienna Byron Bay;0
Silk Naturals;0
Simple;0
Simpli Skin MD;0
Sioris;0
